127.0.0.1 - - [21/May/2024:01:52:03 +0200] "GET / HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [21/May/2024:01:52:03 +0200] "GET /testFron/ HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [21/May/2024:01:52:04 +0200] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [21/May/2024:02:06:06 +0200] "GET /testFron/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:02:06:27 +0200] "GET /testFron/ HTTP/1.1" 200 10617
0:0:0:0:0:0:0:1 - - [21/May/2024:02:07:12 +0200] "GET /testFron/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2024:02:07:41 +0200] "GET /testFron/ HTTP/1.1" 200 10642
0:0:0:0:0:0:0:1 - - [21/May/2024:02:41:20 +0200] "GET /testFron/ HTTP/1.1" 200 11269
0:0:0:0:0:0:0:1 - - [21/May/2024:02:49:27 +0200] "GET /testFron/ HTTP/1.1" 200 11172
0:0:0:0:0:0:0:1 - - [21/May/2024:02:50:16 +0200] "GET /testFron/ HTTP/1.1" 200 11174
0:0:0:0:0:0:0:1 - - [21/May/2024:02:54:10 +0200] "GET /testFron/ HTTP/1.1" 200 11233
